City_ID,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
342,carutapera,-1.195,-46.02,85.64,65,91,5.5,BR,1719668439
343,mitchell,43.7094,-98.0298,64.17,74,0,17.27,US,1719668321
344,kolonia town,6.964,158.206,78.91,100,100,4.61,FM,1719668440
345,port mathurin,-19.6833,63.4167,72.46,71,66,21.83,MU,1719668440
346,khorixas,-20.3667,14.9667,80.49,17,0,10.94,NA,1719668440
347,collie,-33.3667,116.15,50.59,87,97,3.8,AU,1719668440
348,kiruna,67.8557,20.2251,68.92,64,40,12.66,SE,1719668440
349,rongelap,11.1635,166.8941,82.62,80,100,13.89,MH,1719668440
350,saldanha,-33.0117,17.9442,62.65,82,100,13.42,ZA,1719668440
351,kangding,30.0513,101.9603,61.07,98,95,2.84,CN,1719668440
352,itoman,26.1247,127.6694,84.97,86,20,11.5,JP,1719668441
353,port saint john's,-31.6229,29.5448,77.11,47,32,7.9,ZA,1719668441
354,la sierpe,2.8518,-77.6155,79.18,83,73,0.31,CO,1719668441
355,algona,43.07,-94.233,69.89,73,0,13.8,US,1719668431
356,kitimat,54.0524,-128.6534,55.78,62,100,0.56,CA,1719668441
357,badger,64.8,-147.5333,59.81,85,0,3.44,US,1719668441
358,greymouth,-42.4667,171.2,44.22,89,63,4.07,NZ,1719668441
359,quang ngai,15.1167,108.8,82.53,77,14,2.46,VN,1719668441
360,quellon,-43.1167,-73.6167,43.54,85,99,10.6,CL,1719668441
361,tamanrasset,22.785,5.5228,96.71,6,0,19.57,DZ,1719668441
362,gonabad,34.3529,58.6837,90.84,17,94,23.0,IR,1719668442
363,souillac,-20.5167,57.5167,71.98,56,40,6.91,MU,1719668442
